Time;"S(0l)";"S(l/2)";"S(0l)An";"S(l/2)An";
6,57128e-06;0;0;0;0;
6,5804e-06;0;0;0;0;
6,58951e-06;0;0;0;0;
6,59863e-06;0;0;0;0;
6,60774e-06;0;0;0;0;
6,61685e-06;0;0;0;0;
6,62597e-06;0;0;0;0;
6,63508e-06;0;0;0;0;
6,6442e-06;0;0;0;0;
6,65331e-06;0;0;0;0;
6,66242e-06;0;0;0;0;
6,67154e-06;0;0;0;0;
6,68065e-06;0;0;0;0;
6,68977e-06;0;0;0;0;
6,69888e-06;0;0;0;0;
6,70799e-06;0;0;0;0;
6,71711e-06;0;0;0;0;
6,72622e-06;0;0;0;0;
6,73534e-06;0;0;0;0;
6,74445e-06;0;0;0;0;
6,75357e-06;0;0;0;0;
6,76268e-06;0;0;0;0;
6,77179e-06;0;0;0;0;
6,78091e-06;0;0;0;0;
6,79002e-06;0;0;0;0;
6,79914e-06;0;0;0;0;
6,80825e-06;0;0;0;0;
6,81736e-06;0;0;0;0;
6,82648e-06;0;0;0;0;
6,83559e-06;0;0;0;0;
6,84471e-06;0;0;0;0;
6,85382e-06;0;0;0;0;
6,86293e-06;0;0;0;0;
6,87205e-06;0;0;0;0;
6,88116e-06;0;0;0;0;
6,89028e-06;0;0;0;0;
6,89939e-06;0;0;0;0;
6,90851e-06;0;0;0;0;
6,91762e-06;0;0;0;0;
6,92673e-06;0;0;0;0;
6,93585e-06;0;0;0;0;
6,94496e-06;0;0;0;0;
6,95408e-06;0;0;0;0;
6,96319e-06;0;0;0;0;
6,9723e-06;0;0;0;0;
6,98142e-06;0;0;0;0;
6,99053e-06;0;0;0;0;
6,99965e-06;0;0;0;0;
7,00876e-06;0;0;0;0;
7,01788e-06;0;0;0;0;
7,02699e-06;0;0;0;0;
7,0361e-06;0;0;0;0;
7,04522e-06;0;0;0;0;
7,05433e-06;0;0;0;0;
7,06345e-06;0;0;0;0;
7,07256e-06;0;0;0;0;
7,08167e-06;0;0;0;0;
7,09079e-06;0;0;0;0;
7,0999e-06;0;0;0;0;
7,10902e-06;0;0;0;0;
7,11813e-06;0;0;0;0;
7,12724e-06;0;0;0;0;
7,13636e-06;0;0;0;0;
7,14547e-06;0;0;0;0;
7,15459e-06;0;0;0;0;
7,1637e-06;0;0;0;0;
7,17282e-06;0;0;0;0;
7,18193e-06;0;0;0;0;
7,19104e-06;0;0;0;0;
7,20016e-06;0;0;0;0;
7,20927e-06;0;0;0;0;
7,21839e-06;0;0;0;0;
7,2275e-06;0;0;0;0;
7,23661e-06;0;0;0;0;
7,24573e-06;0;0;0;0;
7,25484e-06;0;0;0;0;
7,26396e-06;0;0;0;0;
7,27307e-06;0;0;0;0;
7,28218e-06;0;0;0;0;
7,2913e-06;0;0;0;0;
7,30041e-06;0;0;0;0;
7,30953e-06;0;0;0;0;
7,31864e-06;0;0;0;0;
7,32776e-06;0;0;0;0;
7,33687e-06;0;0;0;0;
7,34598e-06;0;0;0;0;
7,3551e-06;0;0;0;0;
7,36421e-06;0;0;0;0;
7,37333e-06;0;0;0;0;
7,38244e-06;0;0;0;0;
